Date ut MET
20130622 0.0 280346664.552125
20130623 0.0 280433064.551256
20130624 0.0 280519464.550381
20130625 0.0 280605864.549522
20130626 0.0 280692264.548672
20130627 0.0 280778664.54783
20130628 0.0 280865064.546989
20130629 0.0 280951464.546158
20130630 0.0 281037864.545311
20130701 0.0 281124264.54447
20130702 0.0 281210664.543622
20130703 0.0 281297064.542769
20130704 0.0 281383464.541916
20130705 0.0 281469864.541034
20130706 0.0 281556264.54015
20130707 0.0 281642664.53925
20130708 0.0 281729064.538345
20130709 0.0 281815464.537411
20130710 0.0 281901864.536452
20130711 0.0 281988264.535464
20130712 0.0 282074664.53446
20130713 0.0 282161064.533418
20130714 0.0 282247464.532353
20130715 0.0 282333864.531244
20130716 0.0 282420264.530103
20130717 0.0 282506664.528902
20130718 0.0 282593064.527698
20130719 0.0 282679464.526421
20130720 0.0 282765864.525024
20130721 0.0 282852264.523627
20130722 0.0 282938664.52223
20130723 0.0 283025064.520817
20130724 0.0 283111464.519272
20130725 0.0 283197864.517664
20130726 0.0 283284264.515991
20130727 0.0 283370664.514249
20130728 0.0 283457064.51244
20130729 0.0 283543464.510561
20130730 0.0 283629864.508603
20130731 0.0 283716264.506574
20130801 0.0 283802664.504471
20130802 0.0 283889064.502282
20130803 0.0 283975464.500029
20130804 0.0 284061864.497701
20130805 0.0 284148264.495305
20130806 0.0 284234664.492847
20130807 0.0 284321064.490328
20130808 0.0 284407464.487753
20130809 0.0 284493864.485137
20130810 0.0 284580264.482483
20130811 0.0 284666664.479802
20130812 0.0 284753064.477108
20130813 0.0 284839464.474415
20130814 0.0 284925864.471727
20130815 0.0 285012264.469067
20130816 0.0 285098664.466451
20130817 0.0 285185064.463864
20130818 0.0 285271464.461329
20130819 0.0 285357864.458858
20130820 0.0 285444264.456452
20130821 0.0 285530664.45412
20130822 0.0 285617064.45186
20130823 0.0 285703464.449679
20130824 0.0 285789864.447569
20130825 0.0 285876264.445536
20130826 0.0 285962664.443582
20130827 0.0 286049064.441708
20130828 0.0 286135464.439904
20130829 0.0 286221864.438183
20130830 0.0 286308264.436506
20130831 0.0 286394664.434908
20130901 0.0 286481064.433371
20130902 0.0 286567464.431885
20130903 0.0 286653864.430464
20130904 0.0 286740264.429094
20130905 0.0 286826664.427774
20130906 0.0 286913064.426507
20130907 0.0 286999464.425287
20130908 0.0 287085864.424111
20130909 0.0 287172264.42297
20130910 0.0 287258664.42188
20130911 0.0 287345064.420811
20130912 0.0 287431464.419776
20130913 0.0 287517864.418761
20130914 0.0 287604264.417783
20130915 0.0 287690664.416825
20130916 0.0 287777064.415892
20130917 0.0 287863464.414979
20130918 0.0 287949864.414084
20130919 0.0 288036264.413203
20130920 0.0 288122664.412334
20130921 0.0 288209064.411478
20130922 0.0 288295464.410624
20130923 0.0 288381864.40978
20130924 0.0 288468264.408939
20130925 0.0 288554664.408101
20130926 0.0 288641064.407264
20130927 0.0 288727464.406425
20130928 0.0 288813864.405582
20130929 0.0 288900264.404731
20130930 0.0 288986664.40387
20131001 0.0 289073064.402999
20131002 0.0 289159464.402115
20131003 0.0 289245864.40122
20131004 0.0 289332264.400304
20131005 0.0 289418664.399373
20131006 0.0 289505064.398419
20131007 0.0 289591464.397443
20131008 0.0 289677864.396443
20131009 0.0 289764264.395409
20131010 0.0 289850664.394341
20131011 0.0 289937064.393245
20131012 0.0 290023464.39211
20131013 0.0 290109864.390932
20131014 0.0 290196264.38972
20131015 0.0 290282664.388457
20131016 0.0 290369064.387145
20131017 0.0 290455464.385781
20131018 0.0 290541864.384361
20131019 0.0 290628264.382885
20131020 0.0 290714664.381348
20131021 0.0 290801064.379751
20131022 0.0 290887464.378088
20131023 0.0 290973864.376349
20131024 0.0 291060264.374541
20131025 0.0 291146664.372675
20131026 0.0 291233064.370727
20131027 0.0 291319464.368704
20131028 0.0 291405864.366607
20131029 0.0 291492264.364434
20131030 0.0 291578664.362187
20131031 0.0 291665064.359868
20131101 0.0 291751464.357476
20131102 0.0 291837864.355024
20131103 0.0 291924264.352512
20131104 0.0 292010664.349948
20131105 0.0 292097064.347339
20131106 0.0 292183464.344692
20131107 0.0 292269864.342017
20131108 0.0 292356264.339341
20131109 0.0 292442664.336657
20131110 0.0 292529064.334005
20131111 0.0 292615464.331332
20131112 0.0 292701864.328719
20131113 0.0 292788264.32615
20131114 0.0 292874664.323634
20131115 0.0 292961064.321199
20131116 0.0 293047464.318805
20131117 0.0 293133864.316492
20131118 0.0 293220264.314257
20131119 0.0 293306664.312097
20131120 0.0 293393064.310009
20131121 0.0 293479464.308007
20131122 0.0 293565864.306053
20131123 0.0 293652264.304186
20131124 0.0 293738664.302394
20131125 0.0 293825064.300677
20131126 0.0 293911464.299027
20131127 0.0 293997864.297436
20131128 0.0 294084264.295921
20131129 0.0 294170664.294445
20131130 0.0 294257064.293036
20131201 0.0 294343464.291682
20131202 0.0 294429864.29038
20131203 0.0 294516264.289132
20131204 0.0 294602664.287928
20131205 0.0 294689064.286765
20131206 0.0 294775464.285637
20131207 0.0 294861864.284547
20131208 0.0 294948264.28351
20131209 0.0 295034664.282468
20131210 0.0 295121064.281472
20131211 0.0 295207464.2805
20131212 0.0 295293864.279558
20131213 0.0 295380264.278633
20131214 0.0 295466664.277728
20131215 0.0 295553064.27683
20131216 0.0 295639464.275957
20131217 0.0 295725864.275091
20131218 0.0 295812264.274237
20131219 0.0 295898664.273391
20131220 0.0 295985064.27255
20131221 0.0 296071464.271716
20131222 0.0 296157864.270908
20131223 0.0 296244264.270043
20131224 0.0 296330664.269202
20131225 0.0 296417064.26836
20131226 0.0 296503464.267513
20131227 0.0 296589864.266652
20131228 0.0 296676264.265783
20131229 0.0 296762664.264904
20131230 0.0 296849064.26401
20131231 0.0 296935464.263102
20140101 0.0 297021864.262178
20140102 0.0 297108264.261228
20140103 0.0 297194664.260254
20140104 0.0 297281064.259254
20140105 0.0 297367464.258222
20140106 0.0 297453864.257155
20140107 0.0 297540264.25606
20140108 0.0 297626664.254926
20140109 0.0 297713064.25375
20140110 0.0 297799464.252529
20140111 0.0 297885864.251262
20140112 0.0 297972264.249946
20140113 0.0 298058664.248582
20140114 0.0 298145064.247165
20140115 0.0 298231464.245691
20140116 0.0 298317864.244152
20140117 0.0 298404264.242543
20140118 0.0 298490664.240876
20140119 0.0 298577064.239136
20140120 0.0 298663464.23733
20140121 0.0 298749864.235451
20140122 0.0 298836264.233497
20140123 0.0 298922664.231466
20140124 0.0 299009064.229361
20140125 0.0 299095464.227178
20140126 0.0 299181864.22492
20140127 0.0 299268264.222592
20140128 0.0 299354664.220194
20140129 0.0 299441064.21773
20140130 0.0 299527464.215209
20140131 0.0 299613864.21263
20140201 0.0 299700264.210012
