Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110416 5.727 20110416 5.757 20110416 5.742 o -1.47405 0.98795 -1.9116 -1.4759 0.9815 -1.9614 -1.4722 0.9944 -1.8618 w
20110416 16.796 20110416 16.873 20110416 16.8345 i 0.6812 -0.4138 1.0095999 0.812 -0.5357 0.9863 0.5504 -0.2919 1.0329 w
20110416 17.846 20110416 17.856 20110416 17.851002 o -1.45195 1.0111 -2.0317001 -1.4523 1.0088 -2.0474 -1.4516 1.0134 -2.016 w
20110417 4.698 20110417 4.815 20110417 4.7565002 i 1.12035 -0.8876 0.84615004 1.2788 -1.0525 0.7623 0.9619 -0.7227 0.93 w
20110417 6.097 20110417 6.186 20110417 6.1415 o -1.40875 0.92260003 -2.6855001 -1.3997 0.8926 -2.811 -1.4178 0.9526 -2.56 w
20110417 16.857 20110417 16.905 20110417 16.881 i 0.9591 -0.7657 0.9213 1.0269 -0.8388 0.8921 0.8913 -0.6926 0.9505 w
20110417 18.133 20110417 18.24 20110417 18.1865 o -1.38915 0.97765 -2.6076 -1.3808 0.9426 -2.7603 -1.3975 1.0127 -2.4549 w
20110418 4.912 20110418 4.997 20110418 4.9545 i 0.93264997 -0.784 0.91999996 1.0501 -0.9173 0.8685 0.8152 -0.6507 0.9715 w
20110418 6.089 20110418 6.173 20110418 6.131 o -1.3728 1.0917499 -2.2259998 -1.3735 1.0694 -2.355 -1.3721 1.1141 -2.097 w
20110418 17.02 20110418 17.069 20110418 17.0445 i 0.86735 -0.75374997 0.9433 0.9342 -0.8332 0.9158 0.8005 -0.6743 0.9708 w
20110418 18.186 20110418 18.279 20110418 18.2325 o -1.3448999 1.1115 -2.3135 -1.3446 1.085 -2.4553 -1.3452 1.138 -2.1717 w
20110419 5.018 20110419 5.069 20110419 5.0435 i 1.03145 -1.009 0.8489 1.0929 -1.0881 0.8116 0.97 -0.9299 0.8862 w
20110419 6.186 20110419 6.291 20110419 6.2384996 o -1.3125 1.1807001 -2.1069 -1.3177 1.1548 -2.2754 -1.3073 1.2066 -1.9384 w
20110419 17.11 20110419 17.128 20110419 17.119 i 0.99979997 -1.02715 0.85405004 1.0201 -1.0547 0.8414 0.9795 -0.9996 0.8667 w
20110419 18.229 20110419 18.378 20110419 18.303501 o -1.2795501 1.21615 -2.07985 -1.2887 1.181 -2.3172 -1.2704 1.2513 -1.8425 w
20110420 5.239 20110420 5.299 20110420 5.269 i 0.78705 -0.79015 0.95115 0.8626 -0.8951 0.9185 0.7115 -0.6852 0.9838 w
20110420 6.375 20110420 6.452 20110420 6.4135 o -1.25575 1.2327 -2.2039 -1.259 1.2123 -2.3252 -1.2525 1.2531 -2.0826 w
20110420 17.272 20110420 17.304 20110420 17.288 i 0.8911 -0.99325 0.88855004 0.926 -1.0455 0.8676 0.8562 -0.941 0.9095 w
20110420 18.446 20110420 18.557 20110420 18.5015 o -1.22505 1.2555 -2.2497501 -1.2294 1.2254 -2.4217 -1.2207 1.2856 -2.0778 w
20110421 5.341 20110421 5.358 20110421 5.3494997 i 0.8887 -1.0515001 0.87444997 0.9067 -1.0801 0.8627 0.8707 -1.0229 0.8862 w
20110421 6.552 20110421 6.65 20110421 6.601 o -1.1960499 1.2716501 -2.33435 -1.199 1.2436 -2.483 -1.1931 1.2997 -2.1857 w
20110421 17.284 20110421 17.344 20110421 17.314 i 1.0632 -1.41855 0.70439994 1.1154 -1.5099 0.6525 1.011 -1.3272 0.7563 w
20110421 18.64 20110421 18.758 20110421 18.699 o -1.1654 1.28585 -2.4117 -1.1682 1.2504 -2.5876 -1.1626 1.3213 -2.2358 w
20110422 5.334 20110422 5.349 20110422 5.3415003 i 1.09955 -1.5789001 0.62670004 1.1111 -1.6007 0.6132 1.088 -1.5571 0.6402 w
20110422 6.729 20110422 6.85 20110422 6.7895 o -1.1342499 1.30395 -2.4646502 -1.137 1.2663 -2.6438 -1.1315 1.3416 -2.2855 w
20110422 17.509 20110422 17.559 20110422 17.534 i 0.86455 -1.2234 0.8274 0.9081 -1.3068 0.7904 0.821 -1.14 0.8644 w
20110422 18.673 20110422 18.815 20110422 18.744 o -1.0864999 1.3945 -2.1029 -1.0998 1.3619 -2.3288 -1.0732 1.4271 -1.877 w
20110423 5.542 20110423 5.577 20110423 5.5594997 i 0.91040003 -1.4010999 0.75405 0.938 -1.4584 0.725 0.8828 -1.3438 0.7831 w
20110423 6.782 20110423 6.884 20110423 6.833 o -1.05665 1.4154 -2.15905 -1.0657 1.391 -2.3181 -1.0476 1.4398 -2.0 w
20110423 17.561 20110423 17.622 20110423 17.5915 i 0.93245 -1.5504 0.6854 0.9752 -1.6466 0.632 0.8897 -1.4542 0.7388 w
20110423 18.793 20110423 18.972 20110423 18.8825 o -1.0139 1.4473 -2.081 -1.0334 1.4083 -2.3664 -0.9944 1.4863 -1.7956 w
20110424 5.716 20110424 5.764 20110424 5.74 i 0.78635 -1.3178 0.81235003 0.822 -1.4008 0.7756 0.7507 -1.2348 0.8491 w
20110424 6.827 20110424 6.928 20110424 6.8775 o -0.96015 1.5046 -1.8340499 -0.9763 1.4899 -2.0036 -0.944 1.5193 -1.6645 w
20110424 17.775 20110424 17.823 20110424 17.799 i 0.77199996 -1.38205 0.79190004 0.8053 -1.4655 0.7537 0.7387 -1.2986 0.8301 w
20110424 18.958 20110424 19.021 20110424 18.9895 o -0.93630004 1.5166 -1.9692 -0.945 1.5052 -2.0715 -0.9276 1.528 -1.8669 w
20110425 5.888 20110425 5.915 20110425 5.9014997 i 0.6981 -1.2932 0.839 0.7168 -1.3429 0.8186 0.6794 -1.2435 0.8594 w
20110425 7.056 20110425 7.073 20110425 7.0645 o -0.90045 1.53925 -1.97865 -0.9029 1.5361 -2.0068 -0.898 1.5424 -1.9505 w
20110425 17.883 20110425 17.912 20110425 17.8975 i 0.75699997 -1.57545 0.717 0.7731 -1.6235 0.6924 0.7409 -1.5274 0.7416 w
20110425 19.073 20110425 19.212 20110425 19.1425 o -0.862 1.55445 -1.9928501 -0.8821 1.5292 -2.2193 -0.8419 1.5797 -1.7664 w
20110426 5.934 20110426 6.002 20110426 5.968 i 0.71860003 -1.5949 0.71389997 0.7535 -1.7084 0.6562 0.6837 -1.4814 0.7716 w
20110426 7.265 20110426 7.361 20110426 7.3129997 o -0.85029995 1.53405 -2.30725 -0.8602 1.5091 -2.4524 -0.8404 1.559 -2.1621 w
20110426 18.018 20110426 18.126 20110426 18.071999 i 0.6465 -1.49725 0.76460004 0.7012 -1.6879 0.6768 0.5918 -1.3066 0.8524 w
20110426 19.161 20110426 19.333 20110426 19.247 o -0.77145 1.60395 -1.8608 -0.8013 1.5811 -2.149 -0.7416 1.6268 -1.5726 w
20110427 6.042 20110427 6.082 20110427 6.062 i 0.6821 -1.7935 0.62685 0.6981 -1.8583 0.5902 0.6661 -1.7287 0.6635 w
20110427 7.448 20110427 7.516 20110427 7.482 o -0.78115 1.56155 -2.385 -0.7885 1.5427 -2.4878 -0.7738 1.5804 -2.2822 w
20110427 18.116 20110427 18.154 20110427 18.134998 i 0.6376 -1.8060501 0.62864995 0.6512 -1.8673 0.5943 0.624 -1.7448 0.663 w
20110427 19.32 20110427 19.416 20110427 19.368 o -0.6871 1.65065 -1.7918 -0.7053 1.641 -1.9547 -0.6689 1.6603 -1.6289 w
20110428 6.216 20110428 6.281 20110428 6.2485 i 0.56544995 -1.6807499 0.7014 0.5882 -1.7928 0.6447 0.5427 -1.5687 0.7581 w
20110428 7.401 20110428 7.517 20110428 7.459 o -0.6537 1.66195 -1.8546001 -0.6749 1.6484 -2.048 -0.6325 1.6755 -1.6612 w
20110428 18.334 20110428 18.372 20110428 18.353 i 0.5043 -1.58105 0.7572 0.5166 -1.6483 0.7262 0.492 -1.5138 0.7882 w
20110428 19.398 20110428 19.527 20110428 19.462502 o -0.58525 1.6856 -1.619 -0.6131 1.6823 -1.8438 -0.5574 1.6889 -1.3942 w
20110429 6.354 20110429 6.426 20110429 6.3900003 i 0.4843 -1.7132001 0.697 0.5031 -1.8364 0.6349 0.4655 -1.59 0.7591 w
20110429 7.504 20110429 7.59 20110429 7.547 o -0.55085003 1.702 -1.66665 -0.5691 1.6986 -1.8162 -0.5326 1.7054 -1.5171 w
20110429 18.474 20110429 18.506 20110429 18.490002 i 0.43045002 -1.6284001 0.74555004 0.4379 -1.6847 0.7192 0.423 -1.5721 0.7719 w
20110429 19.548 20110429 19.654 20110429 19.601 o -0.50115 1.71445 -1.6015501 -0.5244 1.7136 -1.7876 -0.4779 1.7153 -1.4155 w
20110430 6.523 20110430 6.572 20110430 6.5474997 i 0.3959 -1.6875501 0.7212 0.405 -1.7737 0.6795 0.3868 -1.6014 0.7629 w
20110430 7.626 20110430 7.674 20110430 7.6499996 o -0.45020002 1.7288499 -1.5245 -0.4614 1.7303 -1.6117 -0.439 1.7274 -1.4373 w
20110430 18.547 20110430 18.724 20110430 18.635502 i 0.34655 -1.6219001 0.73895 0.3734 -1.9404 0.5937 0.3197 -1.3034 0.8842 w
20110430 19.604 20110430 19.671 20110430 19.6375 o -0.36675 1.7203 -1.21475 -0.3842 1.7326 -1.3404 -0.3493 1.708 -1.0891 w
20110501 6.687 20110501 6.781 20110501 6.734 i 0.3033 -1.54425 0.78935003 0.3144 -1.7188 0.7153 0.2922 -1.3697 0.8634 w
20110501 7.639 20110501 7.924 20110501 7.7815 o -0.3538 1.7155 -1.4594 -0.4201 1.737 -1.9715 -0.2875 1.694 -0.9473 w
20110501 18.84 20110501 18.886 20110501 18.862999 i 0.2565 -1.33335 0.87689996 0.261 -1.4256 0.8451 0.252 -1.2411 0.9087 w
20110501 19.677 20110501 19.74 20110501 19.7085 o -0.24435 1.6961999 -0.9355 -0.2617 1.7189 -1.0585 -0.227 1.6735 -0.8125 w
20110502 6.846 20110502 6.878 20110502 6.862 i 0.2291 -1.61815 0.76745 0.2298 -1.6765 0.7415 0.2284 -1.5598 0.7934 w
20110502 7.837 20110502 7.936 20110502 7.8865 o -0.2564 1.7523 -1.3399999 -0.28 1.7661 -1.5228 -0.2328 1.7385 -1.1572 w
