Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110427 20.473 20110427 20.571 20110427 20.522 o -0.77145 0.70414996 -4.57295 -0.7668 0.6509 -4.6558 -0.7761 0.7574 -4.4901 w
20110428 5.887 20110428 5.944 20110428 5.9154997 i 0.73399997 -2.61655 0.0565 0.7442 -2.682 -0.0017 0.7238 -2.5511 0.1147 w
20110428 8.159 20110428 8.211 20110428 8.185 o -0.76705 1.1485 -3.7991 -0.7674 1.1228 -3.8549 -0.7667 1.1742 -3.7433 w
20110428 17.898 20110428 18.051 20110428 17.9745 i 0.67270005 -2.65765 0.028549999 0.6952 -2.8317 -0.1279 0.6502 -2.4836 0.185 w
20110428 20.435 20110428 20.438 20110428 20.4365 o -0.7423 0.98615 -4.1618 -0.7423 0.985 -4.1639 -0.7423 0.9873 -4.1597 w
20110429 6.051 20110429 6.114 20110429 6.0825 i 0.60025 -2.5936499 0.1037 0.6085 -2.6692 0.0388 0.592 -2.5181 0.1686 w
20110429 8.482 20110429 8.495 20110429 8.488501 o -0.7178 1.02475 -4.1237 -0.718 1.0183 -4.1358 -0.7176 1.0312 -4.1116 w
20110429 18.112 20110429 18.131 20110429 18.1215 i 0.54385 -2.6861 0.0357 0.5455 -2.7069 0.0171 0.5422 -2.6653 0.0543 w
20110429 20.351 20110429 20.359 20110429 20.355 o -0.67785 1.24675 -3.70125 -0.6782 1.2433 -3.7091 -0.6775 1.2502 -3.6934 w
20110430 6.157 20110430 6.248 20110430 6.2025003 i 0.47685 -2.6748 0.05375 0.4829 -2.7807 -0.0396 0.4708 -2.5689 0.1471 w
20110430 8.449 20110430 8.483 20110430 8.466 o -0.65185 1.2258999 -3.78505 -0.6537 1.2096 -3.8209 -0.65 1.2422 -3.7492 w
20110430 18.157 20110430 18.176 20110430 18.1665 i 0.41825 -2.92455 -0.16825 0.4186 -2.9447 -0.1884 0.4179 -2.9044 -0.1481 w
20110430 20.478 20110430 20.767 20110430 20.622501 o -0.63065004 1.1544499 -3.95 -0.6477 1.0102 -4.2444 -0.6136 1.2987 -3.6556 w
20110501 6.146 20110501 6.169 20110501 6.1575003 i 0.34535 -3.0945501 -0.33605 0.345 -3.1157 -0.359 0.3457 -3.0734 -0.3131 w
20110501 8.47 20110501 8.582 20110501 8.526 o -0.5775 1.33465 -3.6013 -0.5873 1.2829 -3.727 -0.5677 1.3864 -3.4756 w
20110501 18.479 20110501 18.48 20110501 18.4795 i 0.2827 -2.5548 0.18020001 0.2827 -2.5562 0.1791 0.2827 -2.5534 0.1813 w
20110501 20.362 20110501 20.586 20110501 20.473999 o -0.51755 1.4547 -3.306 -0.5429 1.3603 -3.5769 -0.4922 1.5491 -3.0351 w
20110502 6.492 20110502 6.507 20110502 6.4995003 i 0.2158 -2.68615 0.0743 0.2151 -2.7035 0.0592 0.2165 -2.6688 0.0894 w
20110502 8.499 20110502 8.718 20110502 8.6085 o -0.49715 1.4137001 -3.4565 -0.5226 1.3178 -3.7109 -0.4717 1.5096 -3.2021 w
20110502 18.405 20110502 18.576 20110502 18.490501 i 0.1371 -2.8651 -0.09415 0.1235 -3.0496 -0.271 0.1507 -2.6806 0.0827 w
20110502 20.811 20110502 21.426 20110502 21.1185 o -0.55195 0.9921 -4.3137 -0.609 0.6727 -4.8723 -0.4949 1.3115 -3.7551 w
20110503 6.516 20110503 6.575 20110503 6.5455 i 0.06345 -2.91055 -0.12865001 0.0571 -2.9735 -0.1905 0.0698 -2.8476 -0.0668 w
20110503 8.488 20110503 8.762 20110503 8.625 o -0.39005 1.5382 -3.14285 -0.431 1.4326 -3.4868 -0.3491 1.6438 -2.7989 w
20110503 18.507 20110503 18.578 20110503 18.5425 i -0.02765 -3.06105 -0.28305 -0.037 -3.13 -0.3567 -0.0183 -2.9921 -0.2094 w
20110503 20.666 20110503 20.87 20110503 20.768002 o -0.37505 1.49515 -3.32415 -0.4063 1.4113 -3.5702 -0.3438 1.579 -3.0781 w
20110504 6.641 20110504 6.781 20110504 6.711 i -0.0726 -2.8580499 -0.0837 -0.0949 -3.0091 -0.229 -0.0503 -2.707 0.0616 w
20110504 8.676 20110504 8.756 20110504 8.716 o -0.29729998 1.6020999 -3.0222 -0.311 1.5737 -3.1251 -0.2836 1.6305 -2.9193 w
20110504 18.463 20110504 18.646 20110504 18.5545 i -0.22435 -3.2861 -0.55535 -0.2555 -3.439 -0.743 -0.1932 -3.1332 -0.3677 w
20110504 20.737 20110504 20.941 20110504 20.839 o -0.2753 1.5685 -3.14615 -0.3114 1.4925 -3.4015 -0.2392 1.6445 -2.8908 w
20110505 6.638 20110505 6.724 20110505 6.6809998 i -0.28525 -3.1917 -0.44405 -0.302 -3.267 -0.5323 -0.2685 -3.1164 -0.3558 w
20110505 9.316 20110505 9.318 20110505 9.316999 o -0.3788 1.2270501 -4.059 -0.379 1.2265 -4.0601 -0.3786 1.2276 -4.0579 w
20110505 18.767 20110505 18.834 20110505 18.800499 i -0.34350002 -3.0974998 -0.34495002 -0.3585 -3.1595 -0.4145 -0.3285 -3.0355 -0.2754 w
20110505 20.82 20110505 20.912 20110505 20.866001 o -0.15055001 1.6637499 -2.8477 -0.169 1.6353 -2.9714 -0.1321 1.6922 -2.724 w
20110506 6.769 20110506 6.784 20110506 6.7764997 i -0.46710002 -3.25605 -0.54385 -0.4708 -3.2691 -0.5601 -0.4634 -3.243 -0.5276 w
20110506 9.023 20110506 9.057 20110506 9.04 o -0.15125 1.6005 -3.1173 -0.1583 1.5883 -3.1609 -0.1442 1.6127 -3.0737 w
20110506 18.636 20110506 18.759 20110506 18.6975 i -0.62154996 -3.4686499 -0.85155 -0.6501 -3.5543 -0.9756 -0.593 -3.383 -0.7275 w
20110506 20.964 20110506 21.119 20110506 21.0415 o -0.080249995 1.64835 -2.9299998 -0.1138 1.5993 -3.1358 -0.0467 1.6974 -2.7242 w
20110507 6.494 20110507 6.502 20110507 6.498 i -0.83449996 -3.7806501 -1.39025 -0.8362 -3.7848 -1.398 -0.8328 -3.7765 -1.3825 w
20110507 9.408 20110507 9.424 20110507 9.416 o -0.17195001 1.4284501 -3.6652002 -0.1756 1.4213 -3.6839 -0.1683 1.4356 -3.6465 w
20110507 18.331 20110507 18.501 20110507 18.416 i -0.9952 -3.8995 -1.6829 -1.03 -3.973 -1.8425 -0.9604 -3.826 -1.5233 w
20110507 21.356 20110507 21.472 20110507 21.414001 o -0.1013 1.4920499 -3.49575 -0.128 1.4462 -3.6298 -0.0746 1.5379 -3.3617 w
20110508 6.573 20110508 6.691 20110508 6.632 i -1.02975 -3.7409 -1.40975 -1.0576 -3.8 -1.5237 -1.0019 -3.6818 -1.2958 w
