Date x y z r
20090203 -0.13971014 0.37129343 -0.0145361 0.39697483
20090204 -0.16595094 0.3662526 -0.015923023 0.4024105
20090205 -0.19143905 0.3595487 -0.01723769 0.40770248
20090206 -0.21609206 0.35127482 -0.018477136 0.41283312
20090207 -0.239837 0.34152356 -0.019638913 0.4177868
20090208 -0.2626094 0.33038637 -0.020721035 0.42254966
20090209 -0.2843524 0.31795326 -0.021721918 0.42710936
20090210 -0.30501598 0.3043125 -0.022640333 0.43145502
20090211 -0.3245563 0.2895504 -0.02347536 0.435577
20090212 -0.34293494 0.2737514 -0.02422635 0.43946686
20090213 -0.36011836 0.25699785 -0.0248929 0.44311714
20090214 -0.3760774 0.23937012 -0.025474805 0.44652125
20090215 -0.39078677 0.22094664 -0.025972055 0.4496735
20090216 -0.40422466 0.201804 -0.026384797 0.4525689
20090217 -0.41637245 0.18201703 -0.026713323 0.45520306
20090218 -0.42721424 0.16165891 -0.026958058 0.45757222
20090219 -0.4367367 0.14080139 -0.027119536 0.4596732
20090220 -0.44492882 0.119514816 -0.027198404 0.4615032
20090221 -0.45178172 0.09786837 -0.027195401 0.46305996
20090222 -0.45728838 0.075930186 -0.02711136 0.46434158
20090223 -0.4614437 0.053767525 -0.026947198 0.46534652
20090224 -0.46424416 0.031446934 -0.026703915 0.46607363
20090225 -0.4656879 0.009034402 -0.026382592 0.46652213
20090226 -0.46577466 -0.013404482 -0.025984388 0.46669143
20090227 -0.4645056 -0.035804354 -0.02551055 0.46658137
20090228 -0.46188352 -0.058099914 -0.024962401 0.46619213
20090301 -0.45791265 -0.08022578 -0.024341358 0.46552408
20090302 -0.45259884 -0.10211632 -0.023648929 0.464578
20090303 -0.44594955 -0.123705454 -0.022886721 0.463355
20090304 -0.437974 -0.14492658 -0.022056447 0.46185648
20090305 -0.42868316 -0.16571236 -0.021159938 0.46008432
20090306 -0.41809002 -0.18599458 -0.020199148 0.45804065
20090307 -0.4062097 -0.20570399 -0.019176176 0.45572817
20090308 -0.39305967 -0.2247702 -0.018093266 0.45315
20090309 -0.37866 -0.24312156 -0.016952835 0.45030975
20090310 -0.36303353 -0.26068497 -0.015757486 0.44721168
20090311 -0.34620634 -0.2773858 -0.014510025 0.44386062
20090312 -0.32820797 -0.2931479 -0.0132134855 0.44026214
20090313 -0.30907193 -0.30789337 -0.011871152 0.43642262
20090314 -0.28883606 -0.32154265 -0.010486583 0.43234932
20090315 -0.26754314 -0.33401453 -0.009063648 0.42805046
20090316 -0.24524134 -0.34522617 -0.007606548 0.42353544
20090317 -0.22198495 -0.35509312 -0.006119856 0.41881487
20090318 -0.19783507 -0.36352968 -0.00460855 0.4139007
20090319 -0.17286031 -0.3704492 -0.0030780525 0.4088065
20090320 -0.14713766 -0.37576425 -0.0015342666 0.40354756
20090321 -0.12075335 -0.3793875 1.6380896e-05 0.39814097
20090322 -0.093803816 -0.38123208 0.001566902 0.39260605
20090323 -0.06639664 -0.38121283 0.0031097091 0.38696432
20090324 -0.038651485 -0.37924722 0.0046365815 0.38123992
20090325 -0.010701093 -0.37525687 0.0061386377 0.37545958
20090326 0.017307904 -0.3691693 0.007606319 0.36965305
20090327 0.045214243 -0.36091992 0.009029386 0.36385307
20090328 0.07284157 -0.3504546 0.010396935 0.35809553
20090329 0.09999825 -0.33773234 0.011697442 0.35241964
20090330 0.12647775 -0.32272857 0.012918835 0.34686777
20090331 0.15205947 -0.3054386 0.014048608 0.34148526
20090401 0.17651044 -0.2858813 0.015073986 0.3363202
20090402 0.19958793 -0.2641029 0.01598213 0.33142287
20090403 0.22104299 -0.24018069 0.01676041 0.32684505
20090404 0.24062514 -0.2142261 0.01739673 0.32263902
20090405 0.2580882 -0.18638729 0.017879885 0.31885645
20090406 0.27319708 -0.15685037 0.018199984 0.31554702
20090407 0.28573525 -0.12583926 0.018348854 0.31275684
20090408 0.29551256 -0.09361369 0.018320462 0.3105267
20090409 0.30237305 -0.060465194 0.018111257 0.3088908
20090410 0.3062016 -0.026711157 0.01772046 0.30787486
20090411 0.3069296 0.007312964 0.017150238 0.30749536
20090412 0.30453816 0.04126273 0.016405711 0.30775845
